"Frame","TickMs","FlowUpperBoundMs","GCCollectionsBetweenScopeRecords"
"201","2.8697","0.664","0"
"202","2.6645","0.6236","0"
"203","6.3674","0.6245","0"
"204","2.3005","0.5924","0"
"205","3.1034","0.5863","0"
"206","2.6219","0.5932","0"
"207","2.5473","0.5498","0"
"208","2.4567","0.6127","0"
"209","2.3874","0.5613","0"
"210","6.1203","0.6317","0"
"211","2.628","0.5658","0"
"212","3.1006","0.5831","0"
"213","2.6785","0.5856","0"
"214","2.5226","0.5587","0"
"215","2.4332","0.5466","0"
"216","2.333","0.5436","0"
"217","6.4112","0.5553","0"
"218","2.3206","0.5786","0"
"219","3.1575","0.5465","0"
"220","2.4994","0.541","0"
"221","2.3673","0.598","0"
"222","2.582","0.5981","0"
"223","2.4566","0.5889","0"
"224","6.3587","0.7234","0"
"225","2.4524","0.6141","0"
"226","3.3495","0.5957","0"
"227","2.6804","0.5456","0"
"228","2.4346","0.5348","0"
"229","2.258","0.4843","0"
"230","2.2687","0.4936","0"
"231","6.198","0.4863","0"
"232","2.2223","0.4806","0"
"233","2.8879","0.4635","0"
"234","2.6107","0.5572","0"
"235","2.3685","0.4958","0"
"236","2.0926","0.4674","0"
"237","2.2551","0.5449","0"
"238","6.2455","0.5896","0"
"239","2.6509","0.7269","0"
"240","3.4227","0.8591","0"
"241","2.7075","0.7065","0"
"242","2.3689","0.6085","0"
"243","2.619","0.6884","0"
"244","2.5974","0.6376","0"
"245","6.5811","0.6257","0"
"246","2.3125","0.5924","0"
"247","3.2983","0.6678","0"
"248","2.7294","0.6673","0"
"249","2.5011","0.7503","0"
"250","2.9888","0.9567","0"
"251","2.5231","0.658","0"
"252","6.2251","0.6647","0"
"253","2.3151","0.6073","0"
"254","3.2294","0.6448","0"
"255","2.8982","0.623","0"
"256","2.3919","0.6416","0"
"257","2.4687","0.6152","0"
"258","2.3653","0.6053","0"
"259","6.2686","0.6011","0"
"260","2.3545","0.6605","0"
"261","3.2726","0.6277","0"
"262","2.848","0.563","0"
"263","2.4","0.548","0"
"264","2.1986","0.495","0"
"265","2.092","0.4629","0"
"266","6.2804","0.6035","0"
"267","2.457","0.5618","0"
"268","3.0609","0.5126","0"
"269","2.4974","0.5076","0"
"270","2.2542","0.5336","0"
"271","2.4097","0.5893","0"
"272","2.1892","0.5103","0"
"273","6.0208","0.5581","0"
"274","4.202","0.7783","0"
"275","4.7103","0.6257","0"
"276","2.6944","0.5537","0"
"277","2.2301","0.5146","0"
"278","2.3987","0.6726","0"
"279","2.4833","0.5612","0"
"280","4.2901","0.57","0"
"281","2.2259","0.5293","0"
"282","3.2241","0.6362","0"
"283","2.6744","0.5062","0"
"284","2.3388","0.6336","0"
"285","2.4362","0.7251","0"
"286","2.2749","0.6104","0"
"287","4.8274","0.6237","0"
"288","2.3215","0.5862","0"
"289","2.919","0.4823","0"
"290","2.8171","0.5477","0"
"291","2.3377","0.4537","0"
"292","2.3854","0.6525","0"
"293","2.6506","0.8274","0"
"294","4.3669","0.75","0"
"295","2.4874","0.5793","0"
"296","3.7818","0.6785","0"
"297","2.753","0.5881","0"
"298","2.3568","0.6545","0"
"299","2.6383","0.557","0"
"300","2.3072","0.567","0"
"301","4.4531","0.5926","0"
"302","3.1519","0.7916","0"
"303","3.749","0.5671","0"
"304","2.4891","0.5031","0"
"305","2.4605","0.6022","0"
"306","3.313","0.7861","0"
"307","2.6729","0.6328","0"
"308","3.0092","0.6482","0"
"309","3.0145","0.7521","0"
"310","5.0463","2.1006","0"
"311","3.4887","1.2313","0"
"312","2.6566","0.8768","0"
"313","2.4073","0.7883","0"
"314","2.7217","0.7911","0"
"315","2.7788","0.8316","0"
"316","2.6486","0.8889","0"
"317","3.2522","0.7568","0"
"318","2.7742","0.7354","0"
"319","2.8809","0.7584","0"
"320","2.5958","0.7426","0"
"321","2.8945","1.0462","0"
"322","2.7091","0.9471","0"
"323","2.8236","0.8363","0"
"324","3.3613","0.8056","0"
"325","2.7264","0.711","0"
"326","2.6974","0.8848","0"
"327","2.771","0.8197","0"
"328","2.7138","0.9358","0"
"329","2.6032","0.7525","0"
"330","2.9432","0.9222","0"
"331","3.4885","0.7681","0"
"332","3.0336","0.8351","0"
"333","2.4602","0.7751","0"
"334","3.9679","1.7337","0"
"335","2.5816","0.7289","0"
"336","2.7076","0.9276","0"
"337","3.3302","0.8554","0"
"338","3.6054","0.8892","0"
"339","2.9724","0.6674","0"
"340","2.6322","0.7738","0"
"341","2.8224","0.7425","0"
"342","2.4767","0.7308","0"
"343","2.448","0.6051","0"
"344","2.1913","0.5468","0"
"345","3.1515","0.601","0"
"346","2.6134","0.5577","0"
"347","3.2931","0.6335","0"
"348","2.2241","0.4858","0"
"349","2.2707","0.4867","0"
"350","2.1395","0.4168","0"
"351","2.3036","0.425","0"
"352","2.9773","0.44","0"
"353","2.9639","0.8078","0"
"354","2.4132","0.6643","0"
"355","2.5136","0.6036","0"
"356","3.092","1.3111","0"
"357","2.3459","0.5974","0"
"358","2.3228","0.674","0"
"359","3.5029","0.6972","0"
"360","2.8305","0.7203","0"
"361","2.2769","0.6382","0"
"362","2.7961","0.9977","0"
"363","2.6295","0.7131","0"
"364","2.524","0.7091","0"
"365","3.2927","0.8081","0"
"366","3.4489","0.7328","0"
"367","2.9642","0.6536","0"
"368","2.8254","0.9787","0"
"369","2.6258","0.8129","0"
"370","2.892","0.8767","0"
"371","2.7883","0.8739","0"
"372","2.8958","0.7329","0"
"373","3.1619","0.6487","0"
"374","3.3987","0.9903","0"
"375","2.6393","0.7068","0"
"376","2.6199","0.6741","0"
"377","2.4604","0.7824","0"
"378","2.4046","0.681","0"
"379","2.7392","0.7137","0"
"380","3.7643","1.0307","0"
"381","2.825","0.6487","0"
"382","2.3628","0.6405","0"
"383","2.7338","0.823","0"
"384","2.5199","0.7705","0"
"385","2.4614","0.7338","0"
"386","2.8784","0.9682","0"
"387","3.5874","0.6733","0"
"388","2.8095","0.6295","0"
"389","2.6035","0.753","0"
"390","2.3869","0.6391","0"
"391","2.4713","0.5327","0"
"392","2.4303","0.7387","0"
"393","2.3454","0.6303","0"
"394","3.159","0.5163","0"
"395","2.9593","0.6486","0"
"396","2.3049","0.5536","0"
"397","2.1657","0.4556","0"
"398","2.4199","0.7086","0"
"399","2.3768","0.4922","0"
"400","2.2575","0.5211","0"
"401","3.1092","0.6093","0"
"402","2.5471","0.4486","0"
"403","2.2734","0.4457","0"
"404","2.6016","0.6606","0"
"405","2.2079","0.5124","0"
"406","2.258","0.4778","0"
"407","2.5554","0.5676","0"
"408","2.9952","0.4614","0"
"409","2.4913","0.4644","0"
"410","2.486","0.6188","0"
"411","2.3917","0.4938","0"
"412","2.2906","0.5093","0"
"413","2.7594","0.5712","0"
"414","2.0987","0.4408","0"
"415","3.2536","0.4338","0"
"416","2.6889","0.6443","0"
"417","2.192","0.4942","0"
"418","2.5619","0.6327","0"
"419","2.4742","0.6425","0"
"420","2.1078","0.4534","0"
"421","2.2887","0.4427","0"
"422","3.2197","0.7075","0"
"423","2.7308","0.4746","0"
"424","2.2413","0.4869","0"
"425","2.576","0.6431","0"
"426","2.2313","0.4966","0"
"427","2.4072","0.46","0"
"428","2.54","0.6631","0"
"429","3.2976","0.5386","0"
"430","2.7502","0.5238","0"
"431","2.6888","0.5713","0"
"432","2.2077","0.5199","0"
"433","2.529","0.5428","0"
"434","2.3223","0.6408","0"
"435","2.7059","0.6002","0"
"436","3.0905","0.4365","0"
"437","2.7076","0.5754","0"
"438","2.1692","0.4586","0"
"439","2.4602","0.459","0"
"440","2.4367","0.7138","0"
"441","2.0682","0.4486","0"
"442","2.2801","0.4702","0"
"443","3.1905","0.571","0"
"444","2.5241","0.5078","0"
"445","2.411","0.6792","0"
"446","2.3869","0.6546","0"
"447","2.3288","0.4519","0"
"448","2.9257","0.4815","0"
"449","2.4367","0.6717","0"
"450","2.9539","0.4591","0"
"451","2.6951","0.4883","0"
"452","2.3085","0.6008","0"
"453","2.5187","0.6838","0"
"454","2.3554","0.4593","0"
"455","2.6104","0.6282","0"
"456","2.1179","0.4458","0"
"457","2.9376","0.472","0"
"458","2.7241","0.647","0"
"459","2.2453","0.4414","0"
"460","2.148","0.4116","0"
"461","2.2959","0.5744","0"
"462","2.2426","0.4641","0"
"463","2.51","0.4708","0"
"464","3.1232","0.6289","0"
"465","2.5318","0.5552","0"
"466","2.2378","0.4751","0"
"467","2.4316","0.5686","0"
"468","2.0645","0.4365","0"
"469","2.2127","0.4405","0"
"470","2.3156","0.6332","0"
"471","3.1165","0.477","0"
"472","2.451","0.3911","0"
"473","2.3068","0.5746","0"
"474","2.2506","0.4831","0"
"475","2.336","0.4491","0"
"476","2.325","0.6238","0"
"477","2.2576","0.5102","0"
"478","2.8214","0.4014","0"
"479","2.7556","0.5593","0"
"480","2.1494","0.4694","0"
"481","2.2286","0.4411","0"
"482","2.4986","0.637","0"
"483","2.4349","0.5392","0"
"484","2.2651","0.4524","0"
"485","3.1427","0.5727","0"
"486","2.9179","0.5373","0"
"487","2.3412","0.4414","0"
"488","2.373","0.6079","0"
"489","2.2863","0.4938","0"
"490","2.2802","0.4241","0"
"491","2.4493","0.5769","0"
"492","3.0301","0.4855","0"
"493","2.5243","0.4757","0"
"494","2.2505","0.6111","0"
"495","2.301","0.4737","0"
"496","2.4805","0.5445","0"
"497","2.295","0.5644","0"
"498","2.2451","0.4319","0"
"499","3.2238","0.4666","0"
"500","2.6272","0.6472","0"
"501","2.2275","0.4537","0"
"502","2.1854","0.418","0"
"503","2.7119","0.5626","0"
"504","2.5689","0.5993","0"
"505","2.1802","0.4679","0"
"506","3.1389","0.6527","0"
"507","2.8164","0.4818","0"
"508","2.1667","0.4248","0"
"509","2.3838","0.578","0"
"510","2.3132","0.5191","0"
"511","2.2188","0.4303","0"
"512","2.4168","0.6999","0"
"513","2.9977","0.4733","0"
"514","2.7597","0.4221","0"
"515","2.4454","0.6412","0"
"516","2.1833","0.4513","0"
"517","2.2209","0.4561","0"
"518","2.5896","0.7127","0"
"519","2.4239","0.5177","0"
"520","3.0036","0.4225","0"
"521","2.576","0.5687","0"
"522","2.0459","0.4403","0"
"523","2.4227","0.518","0"
"524","2.4256","0.675","0"
"525","2.0964","0.465","0"
"526","2.1767","0.4295","0"
"527","3.3792","0.6328","0"
"528","2.547","0.4518","0"
"529","2.0621","0.4206","0"
"530","2.3355","0.6281","0"
"531","2.3056","0.466","0"
"532","2.0891","0.4333","0"
"533","2.3091","0.6151","0"
"534","3.2524","0.5598","0"
"535","2.8307","0.4942","0"
"536","2.4407","0.6338","0"
"537","2.094","0.4411","0"
"538","2.4434","0.5779","0"
"539","2.3193","0.5164","0"
"540","2.3994","0.5696","0"
"541","3.0735","0.4499","0"
